date,vix,term_spread,vix_rolling_z,spike,spike_probability,signal
2018-11-21,20.7999992370605,0.520000457763672,1.16209729188864,0,0.21369979,CALM
2018-11-23,21.5200004577637,0.229999542236328,1.30282442400476,0,0.12857488,CALM
2018-11-26,18.8999996185303,1.21000099182129,0.728262097126573,1,0.4806129,CALM
2018-11-27,19.0200004577637,0.920000076293945,0.74762854752167,1,0.55876833,SPIKE_RISK
2018-11-28,18.4899997711182,0.790000915527344,0.62596424982179,1,0.644429,SPIKE_RISK
2018-11-30,18.0699996948242,0.819999694824219,0.521641572204626,1,0.5774882,SPIKE_RISK
2018-12-03,16.4400005340576,1.51000022888184,0.159143504308188,1,0.645431,SPIKE_RISK
2018-12-04,20.7399997711182,0.0100002288818359,1.09627224745865,1,0.6726124,SPIKE_RISK
2018-12-07,23.2299995422363,-0.789999008178711,1.61764771809808,1,0.7217108,SPIKE_RISK
2018-12-10,22.6399993896484,-0.629999160766602,1.47492599746798,1,0.8759887,SPIKE_RISK
2018-12-11,21.7600002288818,-0.0400009155273438,1.27070026153503,1,0.89997447,SPIKE_RISK
2018-12-13,20.6499996185303,0.700000762939453,1.01202287717338,1,0.78596705,SPIKE_RISK
2018-12-14,21.6299991607666,0.329999923706055,1.21800462445685,1,0.80979615,SPIKE_RISK
2018-12-17,24.5200004577637,-1.11000061035156,1.83566026938301,1,0.7720217,SPIKE_RISK
2018-12-18,25.5799999237061,-1.68000030517578,2.04287415777863,1,0.7943085,SPIKE_RISK
2018-12-21,30.1100006103516,-3.88000106811523,2.90240988454244,0,0.027992861,CALM
2018-12-24,36.0699996948242,-7.22999954223633,4.02163293817143,0,0.012953908,CALM
2018-12-26,30.4099998474121,-4.71999931335449,2.80564343227594,0,0.019218884,CALM
2018-12-27,29.9599990844727,-4.06999969482422,2.66705363201201,0,0.022781378,CALM
2018-12-28,28.3400001525879,-3.02000045776367,2.30852957712059,0,0.033078756,CALM
2018-12-31,25.4200000762939,-1.69000053405762,1.70762155902,0,0.055728443,CALM
2019-01-03,25.4500007629395,-1.34000015258789,1.68617089223144,0,0.072835125,CALM
2019-01-04,21.3799991607666,0.480001449584961,0.86839750687122,0,0.15143505,CALM
2019-01-07,21.3999996185303,0.220001220703125,0.865155812313554,0,0.04735592,CALM
2019-01-09,19.9799995422363,0.710000991821289,0.56962923663119,0,0.0572115,CALM
2019-01-10,19.5,1.02000045776367,0.46784002238528,0,0.038981225,CALM
2019-01-11,18.1900005340576,1.54999923706055,0.199931286069232,0,0.08724112,CALM
2019-01-14,19.0699996948242,0.860000610351562,0.371670579724021,0,0.16474293,CALM
2019-01-16,19.0400009155273,0.489999771118164,0.356406132093815,0,0.14904426,CALM
2019-01-17,18.0599994659424,1.11000061035156,0.155358032955156,0,0.04729217,CALM
2019-01-18,17.7999992370605,1.04000091552734,0.0992630345950175,0,0.1324048,CALM
2019-01-23,19.5200004577637,0.559999465942383,0.472143171425985,0,0.20152874,CALM
2019-01-24,18.8899993896484,0.780000686645508,0.354906233836655,0,0.19101603,CALM
2019-01-25,17.4200000762939,1.39999961853027,0.0518445071514629,0,0.20768721,CALM
2019-01-30,17.6599998474121,1.02000045776367,0.138735797012086,0,0.21231014,CALM
2019-01-31,16.5699996948242,1.30999946594238,-0.0998438286632701,0,0.18996091,CALM
2019-02-01,16.1399993896484,1.45000076293945,-0.194601128380753,0,0.11573141,CALM
2019-02-05,15.5699996948242,1.5,-0.317432785878954,0,0.09952561,CALM
2019-02-06,15.3800001144409,1.51999950408936,-0.359772088223998,0,0.13463657,CALM
2019-02-07,16.3700008392334,1.14999961853027,-0.130616665606158,0,0.23303056,CALM
2019-02-08,15.7200002670288,1.53999996185303,-0.274999359246265,0,0.16860397,CALM
2019-02-11,15.9700002670288,1.24999904632568,-0.215430309956871,0,0.14890648,CALM
2019-02-12,15.4300003051758,1.38999938964844,-0.337601391012187,0,0.119839035,CALM
2019-02-13,15.6499996185303,1.30999946594238,-0.287251762844863,0,0.09478044,CALM
2019-02-14,16.2199993133545,1.10000038146973,-0.15501274303878,0,0.15521434,CALM
2019-02-15,14.9099998474121,1.56999969482422,-0.449578747876445,0,0.08737353,CALM
2019-02-19,14.8800001144409,1.57000064849854,-0.447478284379958,0,0.04096221,CALM
2019-02-20,14.0200004577637,1.79999923706055,-0.639442823516753,0,0.05565289,CALM
2019-02-21,14.460000038147,1.69999980926514,-0.534981244657592,0,0.09402593,CALM
2019-02-22,13.5100002288818,1.94999980926514,-0.747295591721748,1,0.2830225,CALM
2019-02-26,15.1700000762939,1.1299991607666,-0.367142171417794,0,0.07904614,CALM
2019-02-27,14.6999998092651,1.28999996185303,-0.473239346353715,0,0.06814728,CALM
2019-02-28,14.7799997329712,1.32000064849854,-0.453318809162506,0,0.051939886,CALM
2019-03-01,13.5699996948242,1.8100004196167,-0.725081865997439,1,0.5662032,SPIKE_RISK
2019-03-05,14.7399997711182,1.40999984741211,-0.455285390823625,0,0.25380662,CALM
2019-03-06,15.7399997711182,1.0,-0.224640781885606,0,0.1617326,CALM
2019-03-07,16.5900001525879,0.709999084472656,-0.029531639360871,0,0.1835242,CALM
2019-03-08,16.0499992370605,1.06000137329102,-0.150863977345984,0,0.1188655,CALM
2019-03-11,14.3299999237061,1.68000030517578,-0.536499766940151,0,0.25926292,CALM
2019-03-12,13.7700004577637,1.8799991607666,-0.658378012387195,0,0.26089555,CALM
2019-03-13,13.4099998474121,1.92000007629395,-0.734775358612553,1,0.59990466,SPIKE_RISK
2019-03-14,13.5,1.80000019073486,-0.707454035914402,1,0.6788759,SPIKE_RISK
2019-03-15,12.8800001144409,2.09999942779541,-0.843733465430206,1,0.4430653,CALM
2019-03-19,13.5600004196167,2.0,-0.677482994342747,1,0.740824,SPIKE_RISK
2019-03-20,13.9099998474121,1.88000011444092,-0.589913564992737,0,0.30020955,CALM
2019-03-21,13.6300001144409,1.88000011444092,-0.649090563977452,1,0.40013838,CALM
2019-03-22,16.4799995422363,0.89000129699707,0.0203098658056506,0,0.39864808,CALM
2019-03-25,16.3299999237061,1.1200008392334,-0.0122874871780648,0,0.43401566,CALM
2019-03-26,14.6800003051758,1.77000045776367,-0.393172518822758,0,0.38830456,CALM
2019-03-27,15.1499996185303,1.63000106811523,-0.277303937907446,0,0.45180124,CALM
2019-03-28,14.4300003051758,1.86999893188477,-0.441748301766331,0,0.3605525,CALM
2019-03-29,13.710000038147,2.09000015258789,-0.605904845637357,0,0.5257033,SPIKE_RISK
2019-04-01,13.3999996185303,2.0600004196167,-0.673919669123286,0,0.40743002,CALM
2019-04-02,13.3599996566772,2.18000030517578,-0.678883239180638,0,0.2859114,CALM
2019-04-03,13.7399997711182,1.89000034332275,-0.586093053483871,0,0.39583716,CALM
2019-04-04,13.5799999237061,1.89999961853027,-0.621759384752017,0,0.3861067,CALM
2019-04-05,12.8199996948242,2.24000072479248,-0.797080173325326,0,0.2123862,CALM
2019-04-08,13.1800003051758,2.09999942779541,-0.708955964927881,0,0.23006962,CALM
2019-04-09,14.2799997329712,1.71000003814697,-0.447750586316252,0,0.50045776,SPIKE_RISK
2019-04-10,13.3000001907349,2.07999992370605,-0.674417705207505,0,0.40521842,CALM
2019-04-11,13.0200004577637,2.22999954223633,-0.734771887174744,0,0.51450956,SPIKE_RISK
2019-04-12,12.0100002288818,2.44999980926514,-0.964485381151095,0,0.7444107,SPIKE_RISK
2019-04-15,12.3199996948242,2.21000003814697,-0.886666459357539,0,0.46730098,CALM
2019-04-16,12.1800003051758,2.28999996185303,-0.914748357734209,0,0.35732988,CALM
2019-04-17,12.6000003814697,2.21999931335449,-0.812411608769189,0,0.619626,SPIKE_RISK
2019-04-18,12.0900001525879,2.47999954223633,-0.926402884221904,1,0.85642284,SPIKE_RISK
2019-04-22,12.4200000762939,2.30000019073486,-0.843374173390573,1,0.7709552,SPIKE_RISK
2019-04-23,12.2799997329712,2.26000022888184,-0.872223718973472,1,0.89687,SPIKE_RISK
2019-04-24,13.1400003433228,1.89999961853027,-0.67107060938721,1,0.7971679,SPIKE_RISK
2019-04-25,13.25,1.96000003814697,-0.643797326109868,1,0.7893809,SPIKE_RISK
2019-04-29,13.1099996566772,2.11999988555908,-0.675033751046451,1,0.76195556,SPIKE_RISK
2019-04-30,13.1199998855591,2.10999965667725,-0.673392484498964,1,0.7576721,SPIKE_RISK
